,place_coord_boundaries
4912,"[[103.605441448115, 1.16638900001529], [103.801598130067, 1.16638900001529], [103.801598130067, 1.43574600007885], [103.605441448115, 1.43574600007885]]"
4938,"[[-74.725709, 43.128961], [-71.347515, 43.128961], [-71.347515, 45.01666], [-74.725709, 45.01666]]"
4949,"[[19.26276, 39.6444968], [21.0578283, 39.6444968], [21.0578283, 42.66502], [19.26276, 42.66502]]"
5054,"[[-114.3160379, 50.84278], [-113.859664, 50.84278], [-113.859664, 51.212548], [-114.3160379, 51.212548]]"
5078,"[[17.7601322, 59.2271383], [18.1999856, 59.2271383], [18.1999856, 59.4402037], [17.7601322, 59.4402037]]"
5082,"[[-86.339696, 43.201538], [-86.144095, 43.201538], [-86.144095, 43.264395], [-86.339696, 43.264395]]"
5087,"[[-86.339696, 43.201538], [-86.144095, 43.201538], [-86.144095, 43.264395], [-86.339696, 43.264395]]"
5108,"[[7.438666, 49.285229], [7.493478, 49.285229], [7.493478, 49.320678], [7.438666, 49.320678]]"
5155,"[[32.2692963, 34.562636], [34.6063538, 34.562636], [34.6063538, 35.7087061], [32.2692963, 35.7087061]]"
5196,"[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]"
5197,"[[-4.176128, 53.2046503], [-4.1070571, 53.2046503], [-4.1070571, 53.236817], [-4.176128, 53.236817]]"
5284,"[[-71.4741855, 41.772455], [-71.369479, 41.772455], [-71.369479, 41.861713], [-71.4741855, 41.861713]]"
5295,"[[-82.374927, 44.088966], [-81.296298, 44.088966], [-81.296298, 44.752022], [-82.374927, 44.752022]]"
5333,"[[-1.5712343, 51.9321273], [-1.5323288, 51.9321273], [-1.5323288, 51.948995], [-1.5712343, 51.948995]]"
5352,"[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]"
5371,"[[-0.39216, 51.391383], [-0.221832, 51.391383], [-0.221832, 51.489646], [-0.39216, 51.489646]]"
5404,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
5410,"[[-7.66085699743185, 54.6336309570711], [-0.740025000483186, 54.6336309570711], [-0.740025000483186, 60.8452769694519], [-7.66085699743185, 60.8452769694519]]"
5417,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
5437,"[[-71.4741855, 41.772455], [-71.369479, 41.772455], [-71.369479, 41.861713], [-71.4741855, 41.861713]]"
5463,"[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]"
5519,"[[-75.908759, 45.366368], [-75.3413168, 45.366368], [-75.3413168, 45.599121], [-75.908759, 45.599121]]"
5534,"[[-114.513925, 51.153295], [-114.4202036, 51.153295], [-114.4202036, 51.225517], [-114.513925, 51.225517]]"
5560,"[[-91.6110574, 41.599181], [-91.463067, 41.599181], [-91.463067, 41.6955258], [-91.6110574, 41.6955258]]"
5639,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]"
5642,"[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]"
5644,"[[69.328873, 27.708226], [75.382124, 27.708226], [75.382124, 34.019989], [69.328873, 34.019989]]"
5647,"[[-96.6396669, 40.375437], [-90.140061, 40.375437], [-90.140061, 43.50102], [-96.6396669, 43.50102]]"
5648,"[[-83.113623, 42.2339053], [-82.890548, 42.2339053], [-82.890548, 42.356225], [-83.113623, 42.356225]]"
5659,"[[-105.015543, 39.838926], [-104.884147, 39.838926], [-104.884147, 39.972023], [-105.015543, 39.972023]]"
5695,"[[-0.104501, 51.518605], [-0.015834, 51.518605], [-0.015834, 51.5766844], [-0.104501, 51.5766844]]"
5803,"[[-77.158594, 38.940225], [-77.078411, 38.940225], [-77.078411, 39.0224493], [-77.158594, 39.0224493]]"
