city,max_checkins,locations,total_checkins,total_engagement,max_engagement,UHS,latitude,longitude
"Kirkland, Washington",296545,197,784020,278922,18806,0.7882247901839239,47.68149,-122.20874
"West Palm Beach, Florida",1444458,346,5470920,3624446,1189852,0.7880643474954853,26.71534,-80.05337
"Napa, California",766348,369,2669649,1469754,305419,0.7878151772011976,38.29714,-122.28553
"Westland, Michigan",68243,361,713818,1418594,1137140,0.7869583002950332,42.3242,-83.40021
"Wichita Falls, Texas",384158,290,801286,587653,24930,0.7859453428613504,33.91371,-98.49339
"Miramar, Florida",105764,277,377835,360477,55509,0.7857821535855598,25.98731,-80.23227
"Sacramento, California",2737047,332,12827439,21399818,4901015,0.7847939873266987,38.58157,-121.4944
"Cape Coral, Florida",97614,263,659761,533097,69085,0.7844901411268627,26.56285,-81.94953
"Kansas City, Missouri",2393430,345,7562014,8343545,4141406,0.7844849268991039,39.09973,-94.57857
"Kalamazoo, Michigan",520664,351,1775402,899644,41273,0.7844606460959265,42.29171,-85.58723
"Winston-Salem, North Carolina",873276,334,2015461,1024134,60684,0.7842319945660075,36.09986,-80.24422
"Escondido, California",458666,388,1755833,906621,288115,0.7829024742102466,33.11921,-117.08642
"Cleveland, Ohio",2512041,296,10307481,4561076,774233,0.7826057598359871,41.4995,-81.69541
"Indianapolis, Indiana",3521778,359,11805113,6555065,645603,0.7812723181895844,39.76838,-86.15804
"Missoula, Montana",526955,229,1174881,1609712,332771,0.7807616260710659,46.87215,-113.994
"Bolingbrook, Illinois",56709,330,414113,207788,12148,0.7807337610748757,41.69864,-88.0684
"Brownsville, Texas",704601,278,2060154,1584468,122275,0.7806299917384817,25.90175,-97.49748
"Oklahoma City, Oklahoma",2296808,338,7369632,8355498,4694364,0.7802719321670336,35.46756,-97.51643
"Denton, Texas",618386,383,2373894,1765194,192329,0.780128767333335,33.21484,-97.13307
"Columbus, Ohio",3330358,342,9417771,3627466,305841,0.779996349454664,39.96118,-82.99879
