,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
86,"Abilene, Texas",499551,308,915780,86.32575509401822,32.44874,-99.73314,UHS : 86.32575509401822<br>Checkins :0.91578 million<br>Locations : 308,Abilene,Abilene,0.120099,"City : Abilene, Texas<br>UHS : 86.32575509401822<br>Population :0.120099 million"
87,"Independence, Missouri",268382,343,565471,86.30451428985748,39.091120000000004,-94.41551,UHS : 86.30451428985748<br>Checkins :0.565471 million<br>Locations : 343,Independence,Independence,0.11724,"City : Independence, Missouri<br>UHS : 86.30451428985748<br>Population :0.11724 million"
88,"Atlanta, Georgia",8906494,326,23864876,86.26463007811145,33.749,-84.38798,UHS : 86.26463007811145<br>Checkins :23.864876 million<br>Locations : 326,Atlanta,Atlanta,0.447841,"City : Atlanta, Georgia<br>UHS : 86.26463007811145<br>Population :0.447841 million"
89,"Sterling Heights, Michigan",49463,372,370822,86.2359838413039,42.58031,-83.0302,UHS : 86.2359838413039<br>Checkins :0.370822 million<br>Locations : 372,Sterling Heights,Sterling Heights,0.131224,"City : Sterling Heights, Michigan<br>UHS : 86.2359838413039<br>Population :0.131224 million"
90,"Anchorage, Alaska",1508553,289,3053340,86.22701697157866,61.218059999999994,-149.90028,UHS : 86.22701697157866<br>Checkins :3.05334 million<br>Locations : 289,Anchorage,Anchorage,0.30095,"City : Anchorage, Alaska<br>UHS : 86.22701697157866<br>Population :0.30095 million"
91,"Garland, Texas",503099,364,864777,86.16660711374146,32.912620000000004,-96.63888,UHS : 86.16660711374146<br>Checkins :0.864777 million<br>Locations : 364,Garland,Garland,0.234566,"City : Garland, Texas<br>UHS : 86.16660711374146<br>Population :0.234566 million"
92,"Memphis, Tennessee",3133995,330,8227842,86.00616054610674,35.14953,-90.04898,UHS : 86.00616054610674<br>Checkins :8.227842 million<br>Locations : 330,Memphis,Memphis,0.65345,"City : Memphis, Tennessee<br>UHS : 86.00616054610674<br>Population :0.65345 million"
93,"Durham, North Carolina",1016828,320,2631029,85.99699965298748,35.99403,-78.89862,UHS : 85.99699965298748<br>Checkins :2.631029 million<br>Locations : 320,Durham,Durham,0.245475,"City : Durham, North Carolina<br>UHS : 85.99699965298748<br>Population :0.245475 million"
94,"Mesquite, Texas",373201,332,689381,85.97945113079705,32.7668,-96.59916,UHS : 85.97945113079705<br>Checkins :0.689381 million<br>Locations : 332,Mesquite,Mesquite,0.143484,"City : Mesquite, Texas<br>UHS : 85.97945113079705<br>Population :0.143484 million"
95,"Coral Springs, Florida",388717,289,870838,85.84042037669464,26.27119,-80.2706,UHS : 85.84042037669464<br>Checkins :0.870838 million<br>Locations : 289,Coral Springs,Coral Springs,0.126604,"City : Coral Springs, Florida<br>UHS : 85.84042037669464<br>Population :0.126604 million"
96,"Jurupa Valley, California",76037,254,188883,85.82826405764415,33.992509999999996,-117.51643999999999,UHS : 85.82826405764415<br>Checkins :0.188883 million<br>Locations : 254,Jurupa Valley,Jurupa Valley,0.09803,"City : Jurupa Valley, California<br>UHS : 85.82826405764415<br>Population :0.09803 million"
97,"Buena Park, California",406012,308,1724013,85.76814675991422,33.867509999999996,-117.99812,UHS : 85.76814675991422<br>Checkins :1.724013 million<br>Locations : 308,Buena Park,Buena Park,0.082882,"City : Buena Park, California<br>UHS : 85.76814675991422<br>Population :0.082882 million"
98,"West Covina, California",346160,317,2020449,85.75207787971881,34.06862,-117.93895,UHS : 85.75207787971881<br>Checkins :2.020449 million<br>Locations : 317,West Covina,West Covina,0.10774,"City : West Covina, California<br>UHS : 85.75207787971881<br>Population :0.10774 million"
99,"Rock Hill, South Carolina",309351,331,676021,85.74866757097782,34.76954,-92.26709,UHS : 85.74866757097782<br>Checkins :0.676021 million<br>Locations : 331,Rock Hill,Rock Hill,0.069103,"City : Rock Hill, South Carolina<br>UHS : 85.74866757097782<br>Population :0.069103 million"
100,"High Point, North Carolina",324515,309,734510,85.54927774979237,35.955690000000004,-80.00532,UHS : 85.54927774979237<br>Checkins :0.73451 million<br>Locations : 309,High Point,High Point,0.107741,"City : High Point, North Carolina<br>UHS : 85.54927774979237<br>Population :0.107741 million"
101,"Greensboro, North Carolina",1234968,320,2600367,85.5277735796524,36.07264,-79.79198000000001,UHS : 85.5277735796524<br>Checkins :2.600367 million<br>Locations : 320,Greensboro,Greensboro,0.279639,"City : Greensboro, North Carolina<br>UHS : 85.5277735796524<br>Population :0.279639 million"
102,"Glendale, Arizona",606786,361,1326252,85.50690215735773,33.53865,-112.18598999999999,UHS : 85.50690215735773<br>Checkins :1.326252 million<br>Locations : 361,Glendale,Glendale,0.234632,"City : Glendale, Arizona<br>UHS : 85.50690215735773<br>Population :0.234632 million"
104,"Longview, Texas",333232,345,856589,85.49689524381004,32.5007,-94.74049000000001,UHS : 85.49689524381004<br>Checkins :0.856589 million<br>Locations : 345,Longview,Longview,0.081443,"City : Longview, Texas<br>UHS : 85.49689524381004<br>Population :0.081443 million"
105,"Palatine, Illinois",137354,301,605987,85.47460589088544,42.1103,-88.03424,UHS : 85.47460589088544<br>Checkins :0.605987 million<br>Locations : 301,Palatine,Palatine,0.06935,"City : Palatine, Illinois<br>UHS : 85.47460589088544<br>Population :0.06935 million"
106,"Bloomington, Minnesota",231967,342,570599,85.43916130242079,39.16533,-86.52639,UHS : 85.43916130242079<br>Checkins :0.570599 million<br>Locations : 342,Bloomington,Bloomington,0.086319,"City : Bloomington, Minnesota<br>UHS : 85.43916130242079<br>Population :0.086319 million"
109,"Joliet, Illinois",358224,275,984965,85.33815922393183,41.52519,-88.0834,UHS : 85.33815922393183<br>Checkins :0.984965 million<br>Locations : 275,Joliet,Joliet,0.147806,"City : Joliet, Illinois<br>UHS : 85.33815922393183<br>Population :0.147806 million"
110,"Peoria, Arizona",334807,303,725708,85.33735331565863,40.69365,-89.58899,UHS : 85.33735331565863<br>Checkins :0.725708 million<br>Locations : 303,Peoria,Peoria,0.162592,"City : Peoria, Arizona<br>UHS : 85.33735331565863<br>Population :0.162592 million"
