1342-0.txt        NaN       NaN  0.000008       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009  0.000009  0.000009       NaN       NaN   
1952-0.txt        NaN       NaN  0.000108       NaN       NaN       NaN   
pg16328.txt  0.000068  0.000023  0.001106       NaN  0.000023  0.000023   

                25221      2524      2565      2574        26      2660  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN  0.000016       NaN   
1661-0.txt        NaN       NaN       NaN       NaN  0.000018       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023  0.000023  0.000023  0.000181  0.000023   

                 26th        27       270      2702      2707      2726  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt     0.000013       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008  0.000008       NaN       NaN       NaN       NaN   
1661-0.txt        NaN  0.000018  0.000009       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt       NaN  0.000135       NaN  0.000023  0.000045  0.000023   

                 2767      2778      27th        28       280      2859  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN  0.000013       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN  0.000008       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023       NaN  0.000429  0.000045  0.000023   

                 2873      2875      28th        29       290      2910  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN  0.000013       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN  0.000008       NaN       NaN   
1661-0.txt        NaN       NaN       NaN  0.000009       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023       NaN  0.000203  0.000023  0.000045   

                 2996        2d       2nd      2old  2ponderous      2set  \
11-0.txt          NaN       NaN       NaN       NaN         NaN       NaN   
84-0.txt          NaN  0.000013       NaN       NaN         NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN         NaN       NaN   
1661-0.txt        NaN       NaN  0.000009       NaN         NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN         NaN       NaN   
pg16328.txt  0.000023       NaN       NaN  0.000023    0.000023  0.000023   

                  2so     2that    2which         3        30     30000  \
11-0.txt          NaN       NaN       NaN  0.000101  0.000067       NaN   
84-0.txt          NaN       NaN       NaN  0.000089  0.000013       NaN   
1342-0.txt        NaN       NaN       NaN  0.000032  0.000016       NaN   
1661-0.txt        NaN       NaN       NaN  0.000028  0.000028  0.000018   
1952-0.txt        NaN       NaN       NaN  0.000324  0.000108       NaN   
pg16328.txt  0.000023  0.000023  0.000023  0.001061  0.001264       NaN   

                 3006      3045       305       306      3063      3066  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000045  0.000023  0.000023  0.000023  0.000023  0.000023   

                   31      3114      3118      3162      31st        32  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN  0.000013       NaN   
1342-0.txt   0.000008       NaN       NaN       NaN       NaN  0.000008   
1661-0.txt   0.000009       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000226  0.000023  0.000023  0.000023       NaN  0.000135   

                  322        33        34        35       350       353  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN  0.000008  0.000008  0.000008       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000158  0.000248  0.001196  0.000023  0.000023   

                  355        36        37        38       386       387  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN  0.000008  0.000008  0.000008       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000248  0.000068  0.000135  0.000023  0.000023   

                   39        3a      3and        3d       3rd         4  \
11-0.txt          NaN       NaN       NaN       NaN       NaN  0.000101   
84-0.txt          NaN       NaN       NaN       NaN       NaN  0.000089   
1342-0.txt   0.000008       NaN       NaN       NaN       NaN  0.000032   
1661-0.txt        NaN       NaN       NaN       NaN  0.000028  0.000092   
1952-0.txt        NaN       NaN       NaN       NaN       NaN  0.000324   
pg16328.txt  0.000158  0.000023  0.000023  0.000068       NaN  0.000700   

                   40      4000        41        42       420       421  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008       NaN  0.000008  0.000008       NaN       NaN   
1661-0.txt   0.000009  0.000009       NaN       NaN       NaN  0.000009   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.001264       NaN  0.000316  0.000113  0.000023  0.000023   

                   43       435        44       440       444       447  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008       NaN  0.000008       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000113       NaN  0.000068  0.000023  0.000023  0.000023   

                   45       451      4557       457       458        46  \
11-0.txt          NaN       NaN  0.000034       NaN       NaN       NaN   
84-0.txt          NaN       NaN  0.000013       NaN       NaN       NaN   
1342-0.txt   0.000008       NaN  0.000008       NaN       NaN  0.000008   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN  0.000108       NaN       NaN       NaN   
pg16328.txt  0.000993  0.000023  0.000023  0.000023  0.000023  0.000045   

                   47      4700        48       486        49     4life  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008       NaN  0.000008       NaN  0.000008       NaN   
1661-0.txt        NaN  0.000009       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000068       NaN  0.000068  0.000023  0.000023  0.000023   

                  4th         5        50      5000     50000       501  \
11-0.txt          NaN  0.000034  0.000034  0.000034       NaN       NaN   
84-0.txt          NaN  0.000038  0.000013  0.000013       NaN       NaN   
1342-0.txt        NaN  0.000016  0.000016  0.000008       NaN       NaN   
1661-0.txt   0.000018  0.000009  0.000009  0.000009  0.000009       NaN   
1952-0.txt        NaN  0.000108  0.000108  0.000108       NaN       NaN   
pg16328.txt       NaN  0.001399  0.000971  0.000023       NaN  0.000023   

                501c3        51       514       515       519        52  \
11-0.txt     0.000067       NaN       NaN       NaN       NaN       NaN   
84-0.txt     0.000026       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000016  0.000008       NaN       NaN       NaN  0.000008   
1661-0.txt   0.000009       NaN  0.000009  0.000009       NaN       NaN   
1952-0.txt   0.000216       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000045  0.000090       NaN       NaN  0.000023  0.000113   

                   53        54        55       554        56        57  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008  0.000008  0.000008       NaN  0.000008  0.000008   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000090  0.000090  0.000858  0.000023  0.000113  0.000113   

                  574       578        58        59       596  5somewhere  \
11-0.txt          NaN       NaN       NaN       NaN  0.000034         NaN   
84-0.txt          NaN       NaN       NaN       NaN  0.000013         NaN   
1342-0.txt        NaN       NaN  0.000008  0.000008  0.000008         NaN   
1661-0.txt        NaN       NaN       NaN       NaN  0.000009         NaN   
1952-0.txt        NaN       NaN       NaN       NaN  0.000108         NaN   
