parent_aggr,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_S004,4.097921992666664,0.04706030424804614,4.04460460062937,0.046579342480955216,4.14385203520482,0.04747245746713964
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1041REP001_S002,3.874586944557267,0.04285862975899138,3.4772993827581455,0.04052256966375933,4.214167933134057,0.044675069152204525
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:LOW_STORAGE_301_REPLICA,3.3327636920481947,0.036865267755147556,3.4558451343921557,0.04027255343613591,3.227560001106145,0.03421588046090793
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:PRT_MGMT02_REPLICA,3.182910642334338,0.035207672644276766,3.5429003268039216,0.041287047648681865,2.8752099623128484,0.030480561271298466
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_402,3.003649891775973,0.029706413020318984,2.940992618489512,0.029262315639451503,3.057952861957577,0.030087008629039246
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_403,2.9786724386883123,0.02945938338492464,2.9274300699650357,0.029127370868320988,3.0230824915818175,0.029743921216723267
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:C1046FS002_M002,2.611832611834415,0.027572392836166495,1.616216006202797,0.018281574524108973,3.474700336715149,0.034676505406963105
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1046REP002_M002,2.608277754857605,0.02542558821882853,2.9682315711818186,0.026548572654372087,2.2981970576626507,0.02428278986267823
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1000VBCK002,2.2103671959578293,0.024449911858617834,0.26787581701307195,0.0031216801492480657,3.870708989134078,0.04103400588239531
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1034REP002_M001,2.110255089378643,0.020570844818694457,2.9519353586223764,0.026402815434037292,1.38519317069277,0.014635975000924813
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:C1000VBCK001,2.0200351732045463,0.03164861344931867,3.764061771461535,0.06351919838662448,0.5085454547151509,0.007502198826188358
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:MTC_C1041_MGMT01,2.0064408338192794,0.02219418638954004,2.062869462601307,0.02403956700420733,1.9582085421787725,0.02075928235997313
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_S002,1.765030267883496,0.020269507707138108,2.6282944646083926,0.03026852810006275,1.0213749658855416,0.01170099202724211
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:LOW_STORAGE_401_REPLICA,1.696383008731391,0.01948116646802382,1.659327915412587,0.01910950782387614,1.7283039626144576,0.019799653959277623
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:MTC_TEMPLATE,1.4354534533162657,0.015878226239926914,1.438558460457515,0.01676418364157128,1.4327994527988817,0.015189336459932338
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1046REP002_S002,1.4237537837313912,0.016350307877165172,1.7073811749790222,0.019662909072127435,1.1794241635602407,0.01351162226948647
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:MTCUN905,1.3527784060291212,0.01553523065637716,1.8428030275244727,0.02122248323869452,0.9306487622108444,0.01066162194150756
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:STANDARD_STORAGE_402_REPLICA,1.031380715877022,0.01184431777168981,1.2433018400839153,0.014318379158115718,0.8488221570722891,0.009724206705847852
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_AR02,0.9431760833883537,0.010831380763998586,0.7428689092517483,0.00855518617001683,1.1157298538795173,0.012781932748352902
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:MTCUN906,0.9228601298524047,0.010208190238249622,0.402214960058824,0.004687195994571483,1.3678808615754205,0.014501124077751611
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:MTCUN904,0.8276760449190957,0.00950498485876876,0.8651631673566437,0.009963577519528682,0.7953829213734943,0.009112000521303886
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1027REP004_AR002,0.806383007291262,0.009260456819698188,0.8410517258111888,0.009685900168006977,0.776517785915663,0.008895879305337384
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:STANDARD_STORAGE_401_REPLICA,0.7280590595242715,0.008360989036168208,0.7266558154685318,0.008368469464040977,0.7292678781987949,0.008354578791863713
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:JarekVVOL,0.6238388668524109,0.006900575314551705,0.6224636891830068,0.007253855774728212,0.6250142980446927,0.0066258766687300324
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:FAST_STORAGE_401_REPLICA,0.6202663167896437,0.007123103278972053,0.6200027846713289,0.007140208969217392,0.6204933354216867,0.007108444805509009
mtcntap01_02_tier01_aggr01,mtcntap01-02:mtcntap01_02_tier01_aggr01:STANDARD_STORAGE_403_REPLICA,0.5552940115746755,0.06153462688516634,0.5640326340769231,0.06827976815981986,0.5477205387393939,0.056548984522420256
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1034REP002_M004,0.4851124472621354,0.0047288941144953325,0.045988438909090934,0.0004113315899921627,0.8633939725301198,0.009122635647691005
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:Testvvol2,0.3684579986355419,0.014293943654064958,0.36989177483766184,0.014221433439294112,0.36721754057303346,0.014357739715783194
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1035REPA001,0.368377322158576,0.00359095578870588,0.37041679872727246,0.0033130963867133304,0.36662042366867426,0.003873717737836943
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:vcloud001,0.3526199242135923,0.004049467253674113,0.3544774095874125,0.004082308728117612,0.3510198012710843,0.00402132422789119
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:Standard,0.30263888888636353,0.004741551699766348,0.3748018648041959,0.006324846788295545,0.24009764309090884,0.00354198477140286
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:TEST_VSC,0.2295825799902913,0.0026365133557273504,0.22967313687412588,0.002645011010339681,0.22950457014457842,0.0026292314137042173
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:TESTLUN,0.14260681202265374,0.0016376885586499032,0.13962834771328664,0.0016080179079000802,0.14517259754216874,0.0016631143930007984
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1000_CIFS,0.13158941155421686,0.0014555724134486167,0.13909586055555542,0.0016209480631006919,0.12517328475419,0.0013269820380041638
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1034REP002_M003,0.12928090924595467,0.0012602350945644732,0.2347919052727273,0.002100034921907925,0.03838890664457837,0.00040561785161118396
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:vcloud001,0.10395382418831171,0.0067570716068586995,0.10583916101398601,0.006736470462790379,0.10231986560606057,0.006775647437807022
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:mtcsvm001_root,0.07671751174096386,0.0005475817476876375,0.07807280320261438,0.0005720831416330329,0.07555907825698327,0.0005276241691972397
prtntap01_01_tier01_aggr01,prtntap01-01:prtntap01_01_tier01_aggr01:Extreme,0.06270111836688325,0.003531746792047656,0.04240093245454539,0.0026084808612113833,0.08029461282424247,0.004214429760009609
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:mtcsvm002_root,0.05762130373795185,0.00041127994754840645,0.056784676862745104,0.00041609312082658753,0.05833640939106145,0.0004073593835306501
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:mtcsvm004_root,0.05521379287349402,0.0006107457492156275,0.05572076981699348,0.0006493397686213727,0.05478045503910615,0.0005807363768821705
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:bauer_mel,0.053832070713636306,0.0024993731550503194,0.05263087602884616,0.002436261611245478,0.054909003879310365,0.0025562801581141274
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:mtcsvm005_root,0.053728338183734986,0.0005943144357664425,0.051517792320261435,0.0006003605380003253,0.055617799173184386,0.000589613196147016
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:mtcsvm003_root,0.052101235676375424,0.0005078847762791199,0.05073777713986014,0.0004538108063390061,0.05327578128313254,0.0005629128265371801
